"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"33182300-2","Sirds ķirurģijas ierīces.","Cardiac surgery devices","preces"
"33182400-3","Sirds rentgenizmeklēšanas sistēma.","Cardiac X-ray system","preces"
"33183000-6","Ortopēdiskās palīgierīces.","Orthopaedic support devices","preces"
"33183100-7","Ortopēdiskie implanti.","Orthopaedic implants","preces"
"33183200-8","Ortopēdiskās protēzes.","Orthopaedic prostheses","preces"
"33183300-9","Osteosintēzes ierīces.","Osteosynthesis devices","preces"
"33184000-3","Ķermeņa daļu protēzes.","Artificial parts of the body","preces"
"33184100-4","Ķirurģiskie implanti.","Surgical implants","preces"
"33184200-5","Vaskulārās protēzes.","Vascular prostheses","preces"
"33184300-6","Sirds protēzes.","Artificial parts of the heart","preces"
"33184400-7","Krūšu protēzes.","Breast prostheses","preces"
"33184410-0","Krūts iekšējās protēzes.","Internal breast prostheses","preces"
"33184420-3","Krūts ārējās protēzes.","External breast prostheses","preces"
"33184500-8","Koronārās endoprotēzes.","Coronary endoprostheses","preces"
"33184600-9","Mākslīgās acis.","False eyes","preces"
"33185000-0","Dzirdes aparāti.","Hearing aids","preces"
"33185100-1","Dzirdes aparātu detaļas un piederumi.","Parts and accessories for hearing aids","preces"
"33185200-2","Kohleārais implants.","Cochlear implant","preces"
"33185300-3","Otolaringoloģiskie implanti.","Otolaryngology implant","preces"
"33185400-4","Mākslīgā balsene.","Larynx artificial","preces"
"33186000-7","Mākslīgās asinsrites iekārta.","Extracorporeal circulatory unit","preces"
"33186100-8","Oksigenators.","Oxygenator","preces"
"33186200-9","Asins un šķidrumu sildītāji.","Blood and fluid warming","preces"
"33190000-8","Dažādas medicīniskās ierīces.","Miscellaneous medical devices and products","preces"
"33191000-5","Sterilizācijas, dezinfekcijas un higiēnas ierīces.","Sterilisation, disinfection and hygiene devices","preces"
"33191100-6","Sterilizators.","Steriliser","preces"
"33191110-9","Autoklāvs.","Autoclaves","preces"
"33192000-2","Medicīniskās mēbeles.","Medical furniture","preces"
"33192100-3","Medicīniskās gultas.","Beds for medical use","preces"
"33192110-6","Ortopēdiskās gultas.","Orthopaedic beds","preces"
"33192120-9","Slimnīcu gultas.","Hospital beds","preces"
"33192130-2","Motorizētās gultas.","Motorised beds","preces"
"33192140-5","Psihiatriskās izmeklēšanas dīvāni.","Psychiatric couches","preces"
"33192150-8","Terapijas gultas.","Therapy beds","preces"
"33192160-1","Nestuves.","Stretchers","preces"
"33192200-4","Medicīniskie galdi.","Medical tables","preces"
"33192210-7","Izmeklēšanas galdi.","Examination tables","preces"
"33192230-3","Operāciju galdi.","Operating tables","preces"
"33192300-5","Medicīniskās mēbeles, izņemot gultas un galdus.","Medical furniture except beds and tables","preces"
"33192310-8","Trakcijas vai piekares ierīces medicīniskajām gultām.","Traction or suspension devices for medical beds","preces"
"33192320-1","Urīna pudeļu turētāji.","Urine-bottle holders","preces"
"33192330-4","Transfūzijas piederumi.","Transfusion pods","preces"
"33192340-7","Operāciju zāles mēbeles, izņemot galdus.","Operating theatre furniture except tables","preces"
"33192350-0","Skapis+B7055 audzēšanai medicīniskiem nolūkiem.","Medical cultivation cabinet","preces"
"33192400-6","Zobārstniecības darba stacijas.","Dental workstations","preces"
"33192410-9","Zobārstniecības krēsli.","Dental chairs","preces"
"33192500-7","Analīžu mēģenes.","Test tubes","preces"
"33192600-8","Pacēlājierīces veselības aprūpes nozares vajadzībām.","Lifting equipment for health care sector","preces"
"33193000-9","Invalīdu ratiņi, ratiņkrēsli un saistītās ierīces.","Invalid carriages, wheelchairs and associated devices","preces"
"33193100-0","Invalīdu ratiņi un ratiņkrēsli.","Invalid carriages and wheelchairs","preces"
"33193110-3","Invalīdu ratiņi.","Invalid carriages","preces"
"33193120-6","Ratiņkrēsli.","Wheelchairs","preces"
"33193121-3","Motorizētie ratiņkrēsli.","Motorised wheelchairs","preces"
"33193200-1","Invalīdu ratiņu un ratiņkrēslu detaļas un piederumi.","Parts and accessories for invalid carriages and wheelchairs","preces"
"33193210-4","Invalīdu transportlīdzekļu detaļas un piederumi.","Parts and accessories for invalid carriages","preces"
"33193211-1","Invalīdu ratiņu motori.","Motors for invalid carriages","preces"
"33193212-8","Invalīdu ratiņu stūrēšanas ierīces.","Steering devices for invalid carriages","preces"
"33193213-5","Invalīdu ratiņu vadības ierīces.","Control devices for invalid carriages","preces"
"33193214-2","Invalīdu ratiņu šasijas.","Chassis for invalid carriages","preces"
"33193220-7","Invalīdu ratiņu detaļas un piederumi.","Parts and accessories for wheelchairs","preces"
"33193221-4","Ratiņkrēslu spilveni.","Wheelchair cushions","preces"
"33193222-1","Ratiņkrēslu rāmji.","Wheelchair frames","preces"
"33193223-8","Ratiņkrēslu sēdekļi.","Wheelchair seats","preces"
"33193224-5","Ratiņkrēslu riteņi.","Wheelchair wheels","preces"
"33193225-2","Ratiņkrēslu riepas.","Wheelchair tyres","preces"
"33194000-6","Transfūzijas un infūzijas ierīces un instrumenti.","Devices and instruments for transfusion and infusion","preces"
"33194100-7","Infūzijas ierīces un instrumenti.","Devices and instruments for infusion","preces"
"33194110-0","Infūzijas sūkņi.","Infusion pumps","preces"
"33194120-3","Infūzijas piederumi.","Infusion supplies","preces"
"33194200-8","Transfūzijas ierīces un instrumenti.","Devices and instruments for transfusion","preces"
"33194210-1","Asins transfūzijas piederumi.","Blood-transfusion devices","preces"
"33194220-4","Asins transfūzijas materiāli.","Blood-transfusion supplies","preces"
"33195000-3","Pacientu novērošanas sistēma.","Patient-monitoring system","preces"
"33195100-4","Monitori.","Monitors","preces"
"33195110-7","Elpošanas sistēmas monitori.","Respiratory monitors","preces"
"33195200-5","Centrālā novērošanas stacija.","Central monitoring station","preces"
"33196000-0","Medicīniskās palīgierīces.","Medical aids","preces"
"33196100-1","Palīgierīces veciem cilvēkiem.","Devices for the elderly","preces"
"33196200-2","Palīgierīces invalīdiem.","Devices for the disabled","preces"
"33197000-7","Medicīnā izmantojamo datoru iekārtas.","Medical computer equipment","preces"
"33198000-4","Slimnīcās izmantojamie papīra izstrādājumi.","Hospital paper articles","preces"
"33198100-5","Papīra kompreses.","Paper compresses","preces"
"33198200-6","Papīra sterilizācijas maisi vai ietinamais papīrs.","Paper sterilisation pouches or wraps","preces"
"33199000-1","Medicīnas darbinieku apģērbi.","Medical clothing","preces"
"33600000-6","Farmācijas izstrādājumi.","Pharmaceutical products","preces"
"33610000-9","Zāles gremošanas traktam un metabolismam.","Medicinal products for the alimentary tract and metabolism","preces"
"33611000-6","Zāles traucējumiem, kas saistīti ar kuņģa skābēm.","Medicinal products for acid related disorders","preces"
"33612000-3","Zāles kuņģa un zarnu trakta funkcionālajiem traucējumiem.","Medicinal products for functional gastrointestinal disorders","preces"
"33613000-0","Caurejas līdzekļi.","Laxatives","preces"
"33614000-7","Līdzekļi pret caureju, zarnu pretiekaisuma/pretinfekcijas līdzekļi.","Antidiarrhoeals, intestinal anti-inflammatory/anti-infective agents","preces"
"33615000-4","Zāles, ko izmanto diabēta ārstēšanā.","Medicinal products used in diabetes","preces"
"33615100-5","Insulīns.","Insulin","preces"
"33616000-1","Vitamīni.","Vitamins","preces"
"33616100-2","Provitamīni.","Provitamins","preces"
"33617000-8","Minerālvielu piedevas.","Mineral supplements","preces"
"33620000-2","Zāles asinīm, asinsrades orgāniem un sirds un asinsvadu sistēmai.","Medicinal products for the blood, blood-forming organs and the cardiovascular system","preces"
"33621000-9","Zāles asinīm un asinsrades orgāniem.","Medicinal products for the blood and blood-forming organs","preces"
"33621100-0","Līdzekļi pret trombozi.","Antithrombotic agents","preces"
"33621200-1","Hemostatiskie līdzekļi.","Antihaemorrhagics","preces"
"33621300-2","Antianēmiskie preparāti.","Antianaemic preparations","preces"
"33621400-3","Asins aizstājēji un perfūzijas šķīdumi.","Blood substitutes and perfusion solutions","preces"
"33622000-6","Zāles sirds un asinsvadu sistēmai.","Medicinal products for the cardiovascular system","preces"
"33622100-7","Kardioterapijas zāles.","Cardiac therapy medicinal products","preces"
"33622200-8","Antihipertensīvie līdzekļi.","Antihypertensives","preces"
"33622300-9","Diurētiskie līdzekļi.","Diuretics","preces"
"33622400-0","Vazoprotektīvie līdzekļi.","Vasoprotectives","preces"
"33622500-1","Antihemoroidālie līdzekļi lokālai lietošanai.","Antihaemorrhoidals for topical use","preces"
"33622600-2","Beta blokatori.","Beta-blocking agents","preces"
"33622700-3","Kalcija kanālu blokatori.","Calcium channel blockers","preces"
"33622800-4","Renīna–angiotensīna sistēmu ietekmējošie līdzekļi.","Agents acting on the renin-angiotensin system","preces"
"33630000-5","Dermatoloģiskās zāles un zāles muskuļu un kaulu sistēmai.","Medicinal products for dermatology and the musculo-skeletal system","preces"
"33631000-2","Dermatoloģiskās zāles.","Medicinal products for dermatology","preces"
"33631100-3","Dermatoloģiskās pretsēnīšu zāles.","Antifungals for dermatological use","preces"
"33631110-6","Salicilskābes.","Salicylic acids","preces"
"33631200-4","Ādu mīkstinošie un aizsargājošie līdzekļi.","Emollients and protectives","preces"
"33631300-5","Antipsoriātiskie līdzekļi.","Antipsoriatics","preces"
"33631400-6","Dermatoloģijā lietojamie antiobiotiskie un ķīmiskās terapijas līdzekļi.","Antibiotics and chemotherapeutics for dermatological use","preces"
"33631500-7","Dermatoloģijā lietojamie kortikosteroīdi un dermatoloģiskie preparāti.","Corticosteroids for dermatological use and dermatological preparations","preces"
"33631600-8","Antiseptiskie un dezinfekcijas līdzekļi.","Antiseptics and disinfectants","preces"
"33631700-9","Preparāti pret akni.","Anti-acne preparations","preces"
"33632000-9","Zāles muskuļu un kaulu sistēmai.","Medicinal products for the musculo-skeletal system","preces"
"33632100-0","Pretiekaisuma un pretreimatisma izstrādājumi.","Anti-inflammatory and anti-rheumatic products","preces"
"33632200-1","Muskuļu relaksanti.","Muscle relaxants","preces"
"33632300-2","Preparāti pret podagru.","Antigout preparations","preces"
"33640000-8","Uroģenitālās sistēmas zāles un hormoni.","Medicinal products for the genitourinary system and hormones","preces"
"33641000-5","Uroģenitālās sistēmas zāles un dzimumhormoni.","Medicinal products for the genitourinary system and sex hormones","preces"
"33641100-6","Ginekoloģiskie pretinfekcijas un antiseptiskie līdzekļi.","Gynaecological anti-infectives and antiseptics","preces"
"33641200-7","Citi ginekoloģiskie līdzekļi.","Other gynaecologicals","preces"
"33641300-8","Dzimumhormoni un dzimumsistēmas modulatori.","Sex hormones and modulators of the genital system","preces"
"33641400-9","Kontracepcijas līdzekļi.","Contraceptives","preces"
"33641410-2","Orālās kontracepcijas līdzekļi.","Oral contraceptives","preces"
"33641420-5","Ķīmiskie kontracepcijas līdzekļi.","Chemical contraceptives","preces"
"33642000-2","Hormonu preparāti sistēmiskai lietošanai, izņemot dzimumhormonus.","Systemic hormonal preparations, excl. sex hormones","preces"
"33642100-3","Hipofīzes un hipotalāma hormoni un to analogi.","Pituitary, hypothalamic hormones and analogues","preces"
"33642200-4","Kortikosterioīdi sistēmiskai lietošanai.","Corticosteroids for systemic use","preces"
"33642300-5","Vairogdziedzera terapijas zāles.","Thyroid therapy medicinal products","preces"
"33650000-1","Vispārēji pretinfekcijas līdzekļi sistēmiskai lietošanai, vakcīnas, antineoplastiskie līdzekļi un imūnmodulatori.","General anti-infectives for systemic use, vaccines, antineoplastic and immunodulating agents","preces"
"33651000-8","Vispārēji pretinfekcijas līdzekļi sistēmiskai lietošanai un vakcīnas.","General anti-infectives for systemic use and vaccines","preces"
"33651100-9","Antibakteriālie līdzekļi sistēmiskai lietošanai.","Antibacterials for systemic use","preces"
"33651200-0","Pretsēnīšu līdzekļi sistēmiskai lietošanai.","Antimycotics for systemic use","preces"
"33651300-1","Pretmikobaktēriju līdzekļi.","Antimycobacterials","preces"
"33651400-2","Pretvīrusu līdzekļi sistēmiskai lietošanai.","Antivirals for systemic use","preces"
"33651500-3","Imūnserumi un imūnglobulīni.","Immune sera and immunoglobulins","preces"
"33651510-6","Imūnserumi.","Antisera","preces"
"33651520-9","Imūnglobulīni.","Immunoglobulins","preces"
"33651600-4","Vakcīnas.","Vaccines","preces"
"33651610-7","Kombinētas difterijas, garā klepus un tetanusa vakcīnas.","Diphtheria-pertussis-tetanus vaccines","preces"
"33651620-0","Kombinētas difterijas un tetanusa vakcīnas.","Diphtheria-tetanus vaccines","preces"
"33651630-3","BCG vakcīnas (liofilizētās).","BCG vaccines (dried)","preces"
"33651640-6","Kombinētas masalu, epidēmiskā parotīta un masaliņu vakcīnas.","Measles-mumps-rubella vaccines","preces"
"33651650-9","Tīfa vakcīnas.","Typhus vaccines","preces"
"33651660-2","Gripas vakcīnas.","Influenza vaccines","preces"
"33651670-5","Poliovakcīnas.","Polio vaccines","preces"
"33651680-8","Hepatīta B vakcīnas.","Hepatitis B vaccines","preces"
"33651690-1","Veterinārās medicīnas vakcīnas.","Vaccines for veterinary medicine","preces"
"33652000-5","Antineoplastiskie līdzekļi un imūnmodulatori.","Antineoplastic and immunomodulating agents","preces"
"33652100-6","Antineoplastiskie līdzekļi.","Antineoplastic agents","preces"
"33652200-7","Endokrīnās terapijas zāles.","Endocrine therapy medicinal products","preces"
"33652300-8","Imūnsupresīvie līdzekļi.","Immunosuppressive agents","preces"
"33660000-4","Zāles nervu sistēmai un maņu orgāniem.","Medicinal products for the nervous system and sensory organs","preces"
"33661000-1","Zāles nervu sistēmai.","Medicinal products for the nervous system","preces"
"33661100-2","Anestēzijas līdzekļi.","Anaesthetics","preces"
"33661200-3","Pretsāpju līdzekļi.","Analgesics","preces"
"33661300-4","Pretepilepsijas līdzekļi.","Antiepileptics","preces"
"33661400-5","Pretparkinsonisma zāles.","Anti-Parkinson medicinal products","preces"
"33661500-6","Psiholeptiskie līdzekļi.","Psycholeptics","preces"
"33661600-7","Psihoanaleptiskie līdzekļi.","Psychoanaleptics","preces"
"33661700-8","Citas nervu sistēmas zāles.","Other nervous system medicinal products","preces"
"33662000-8","Zāles maņu orgāniem.","Medicinal products for sensory organs","preces"
"33662100-9","Oftalmoloģiskie līdzekļi.","Ophthalmologicals","preces"
"33670000-7","Zāles elpošanas sistēmai.","Medicinal products for the respiratory system","preces"
"33673000-8","Medikamenti pret obstruktīvām elpošanas ceļu slimībām.","Medicinal products for obstructive airway diseases","preces"
"33674000-5","Preparāti pret klepu un saaukstēšanos.","Cough and cold preparations","preces"
"33675000-2","Antihistamīna līdzekļi sistēmiskai lietošanai.","Antihistamines for systemic use","preces"
"33680000-0","Farmaceitiskās preces.","Pharmaceutical articles","preces"
"33681000-7","Bērnu pudeļu knupīši, knupīšu uzgaļi un līdzīgas zīdaiņu preces.","Teats, nipple shields and similar articles for babies","preces"
"33682000-4","Gumijas flīzes.","Rubber tiles","preces"
"33683000-1","Gumijas amortizācija.","Rubber cushioning","preces"
"33690000-3","Dažādas zāles.","Various medicinal products","preces"
"33691000-0","Pretparazitāri izstrādājumi, insekticīdi un repelenti.","Antiparasitic products, insecticides and repellents","preces"
"33691100-1","Pretprotozoju līdzekļi.","Antiprotozoals","preces"
"33691200-2","Attārpošanas līdzekļi.","Anthelmintics","preces"
"33691300-3","Līdzekļi pret ektoparazītiem, tostarp līdzekļi pret kašķa ērcēm, insekticīdi un repelenti.","Ectoparasiticides, incl. scabicides, insecticides and repellents","preces"
"33692000-7","Medicīniskie šķīdumi.","Medical solutions","preces"
"33692100-8","Infūzijas šķīdumi.","Infusion solutions","preces"
"33692200-9","Parenterālās barošanas produkti.","Parenteral nutrition products","preces"
"33692210-2","Parenterālās barošanas šķīdumi.","Parenteral feeding solutions","preces"
"33692300-0","Enterālā barība.","Enteral feeds","preces"
"33692400-1","Perfūzijas šķīdumi.","Perfusion solutions","preces"
"33692500-2","Šķīdumi, kas paredzēti injicēšanai.","Injectable solutions","preces"
"33692510-5","Intravenozie šķidrumi.","Intravenous fluids","preces"
"33692600-3","Galēniskie preparāti.","Galenical solutions","preces"
"33692700-4","Glikozes šķīdumi.","Glucose solutions","preces"
"33692800-5","Dialīzes šķīdumi.","Dialysis solutions","preces"
"33693000-4","Citi terapeitiskie izstrādājumi.","Other therapeutic products","preces"
"33693100-5","Toksīni.","Toxins","preces"
"33693200-6","Nikotīna aizstājēji.","Nicotine substitutes","preces"
"33693300-7","Atkarības ārstēšanas preparāti.","Addiction treatment","preces"
"33694000-1","Diagnostiskie reaģenti.","Diagnostic agents","preces"
"33695000-8","Visi pārējie izstrādājumi, kas nav terapeitiski.","All other non-therapeutic products","preces"
"33696000-5","Reaģenti un kontrastvielas.","Reagents and contrast media","preces"
"33696100-6","Reaģenti asins grupas noteikšanai.","Blood-grouping reagents","preces"
"33696200-7","Reaģenti asins analīžu veikšanai.","Blood-testing reagents","preces"
"33696300-8","Ķīmiskie reaģenti.","Chemical reagents","preces"
"33696400-9","Izotopu reaģenti.","Isotopic reagents","preces"
"33696500-0","Laboratorijas reaģenti.","Laboratory reagents","preces"
"33696600-1","Reaģenti elektroforēzei.","Reagents for electrophoresis","preces"
"33696700-2","Uroloģiskie reaģenti.","Urological reagents","preces"
"33696800-3","Rentgena kontrastvielas.","X-ray contrast media","preces"
"33697000-2","Medicīnas preparāti, izņemot zobārstniecības preces.","Medical preparations excluding dental consumables","preces"
"33697100-3","Klizmas preparāti.","Enema preparations","preces"
"33697110-6","Kaulu rekonstrukcijas saistvielas.","Bone reconstruction cements","preces"
"33698000-9","Klīniskie produkti.","Clinical products","preces"
"33698100-0","Mikrobioloģiskās kultūras.","Microbiological cultures","preces"
"33698200-1","Dziedzeri un to ekstrakti.","Glands and their extracts","preces"
"33698300-2","Pepsīnvielas.","Peptic substances","preces"
"33700000-7","Higiēnas preces.","Personal care products","preces"
"33710000-0","Parfīmi, tualetes piederumi un prezervatīvi.","Perfumes, toiletries and condoms","preces"
"33711000-7","Parfīmi un tualetes piederumi.","Perfumes and toiletries","preces"
"33711100-8","Tualetes ūdeņi.","Toilet waters","preces"
"33711110-1","Dezodoranti.","Deodorants","preces"
"33711120-4","Pretsviedru līdzekļi.","Antiperspirants","preces"
"33711130-7","Odekoloni.","Colognes","preces"
"33711140-0","Smaržas.","Fragrances","preces"
"33711150-3","Rožūdeņi.","Rose water","preces"
"33711200-9","Dekoratīvās kosmētikas līdzekļi.","Make-up preparations","preces"
"33711300-0","Manikīra un pedikīra līdzekļi.","Manicure or pedicure preparations","preces"
"33711400-1","Kosmētika.","Beauty products","preces"
"33711410-4","Vates kociņi.","Cotton buds","preces"
"33711420-7","Dekoratīvās kosmētikas komplekti.","Makeup kits","preces"
"33711430-0","Vienreizējai lietošanai paredzētas salvetes.","Disposable personal wipes","preces"
"33711440-3","Lūpu balzams.","Lip balm","preces"
"33711450-6","Tetovējumi.","Tattoos","preces"
"33711500-2","Ādas kopšanas līdzekļi.","Skin-care products","preces"
"33711510-5","Aizsardzības līdzekļi pret saules iedarbību.","Sun protection products","preces"
"33711520-8","Dušas želejas.","Bath gels","preces"
"33711530-1","Dušas cepurītes.","Shower caps","preces"
"33711540-4","Farmaceitiskie krēmi un losjoni.","Para-pharmaceutical creams or lotions","preces"
"33711600-3","Matu kopšanas preparāti un izstrādājumi.","Hair preparations and articles","preces"
"33711610-6","Šampūni.","Shampoos","preces"
"33711620-9","Matu sukas.","Combs","preces"
"33711630-2","Parūkas.","Wigs","preces"
"33711640-5","Tualetes piederumu komplekti.","Vanity kits","preces"
"33711700-4","Mutes vai zobu higiēnas līdzekļi un izstrādājumi.","Articles and preparations for oral or dental hygiene","preces"
"33711710-7","Zobusukas.","Toothbrushes","preces"
"33711720-0","Zobupasta.","Toothpaste","preces"
"33711730-3","Zobu irbulīši.","Toothpicks","preces"
"33711740-6","Mutes skalošanas līdzekļi.","Mouthwash","preces"
"33711750-9","Mutes atsvaidzinātāji.","Mouth fresheners","preces"
"33711760-2","Zobu diegs.","Dental floss","preces"
"33711770-5","Zīdaiņu zobu riņķi, zīdaiņu mierinātāji un zīdaiņu knupji.","Infant soother, pacifier and dummy","preces"
"33711780-8","Zobu protēzes tīrīšanas salvetes.","Denture cleaning tablets","preces"
"33711790-1","Zobu kopšanas komplekti.","Dental kits","preces"
"33711800-5","Skūšanās līdzekļi.","Shaving preparations","preces"
"33711810-8","Skūšanās kremi.","Shaving creams","preces"
"33711900-6","Ziepes.","Soap","preces"
"33712000-4","Prezervatīvi.","Condoms","preces"
"33713000-1","Kāju kopšanas līdzekļi.","Foot care products","preces"
"33720000-3","Skuvekļi un manikīra vai pedikīra komplekti.","Razors and manicure or pedicure sets","preces"
"33721000-0","Bārdas naži.","Razors","preces"
"33721100-1","Žiletes.","Razor blades","preces"
"33721200-2","Bārdas skujamie.","Shavers","preces"
"33722000-7","Manikīra vai pedikīra piederumu komplekti.","Manicure or pedicure sets","preces"
"33722100-8","Manikīra komplekti.","Manicure sets","preces"
"33722110-1","Manikīra piederumi.","Manicure implements","preces"
"33722200-9","Pedikīra komplekti.","Pedicure sets","preces"
"33722210-2","Pedikīra piederumi.","Pedicure implements","preces"
"33722300-0","Matu sprādzes.","Barrettes","preces"
"33730000-6","Acu kopšanas līdzekļi un koriģējošās lēcas.","Eye care products and corrective lenses","preces"
"33731000-3","Kontaktlēcas.","Contact lenses","preces"
"33731100-4","Koriģējošās lēcas.","Corrective lenses","preces"
"33731110-7","Intraokulārās lēcas.","Intraocular lenses","preces"
"33731120-0","Briļļu lēcas.","Spectacle lenses","preces"
"33732000-0","Kontaktlēcu kopšanas šķīdumi.","Contact lenses lotions","preces"
"33733000-7","Saulesbrilles.","Sunglasses","preces"
"33734000-4","Brilles.","Spectacles","preces"
"33734100-5","Briļļu rāmji un ietvari.","Frames and mountings for spectacles","preces"
"33734200-6","Stikls (neapstrādāts) briļļu lēcām.","Glass for spectacles","preces"
"33735000-1","Aizsargbrilles.","Goggles","preces"
"33735100-2","Aizsargbrilles darbam.","Protective goggles","preces"
"33735200-3","Aizsargbriļļu rāmji un ietvari.","Frames and mountings for goggles","preces"
"33740000-9","Roku un nagu kopšanas līdzekļi.","Hand and nails care products","preces"
"33741000-6","Roku kopšanas līdzekļi.","Hand care products","preces"
"33741100-7","Roku tīrīšanas līdzekļi.","Hand cleaner","preces"
"33741200-8","Roku vai ķermeņa losjoni.","Hand or body lotions","preces"
"33741300-9","Roku dezinficēšanas līdzekļi.","Hand sanitizer","preces"
"33742000-3","Nagu kopšanas līdzekļi.","Nail care products","preces"
"33742100-4","Nagu knaibles.","Nail clippers","preces"
"33742200-5","Nagu lakas.","Nail polish","preces"
"33750000-2","Zīdaiņu kopšanas līdzekļi.","Baby care products","preces"
"33751000-9","Vienreizējās lietošanas autiņi.","Disposable nappies","preces"
"33752000-6","Spilveni barošanai ar krūti.","Nursing pad","preces"
"33760000-5","Tualetes papīrs, kabatlakatiņi, roku dvieļi un salvetes.","Toilet paper, handkerchiefs, hand towels and serviettes","preces"
"33761000-2","Tualetes papīrs.","Toilet paper","preces"
"33762000-9","Papīra kabatlakatiņi.","Paper handkerchiefs","preces"
"33763000-6","Papīra roku dvielīši.","Paper hand towels","preces"
"33764000-3","Papīra salvetes.","Paper serviettes","preces"
"33770000-8","Papīrs higiēnas vajadzībām.","Paper sanitary","preces"
"33771000-5","Papīra higiēnas preces.","Sanitary paper products","preces"
"33771100-6","Higiēnas paketes vai tamponi.","Sanitary towels or tampons","preces"
"33771200-7","Papīra autiņu ieliktnīši.","Paper napkin liners","preces"
"33772000-2","Vienreizējās lietošanas papīra izstrādājumi.","Disposable paper products","preces"
"33790000-4","Stikla izstrādājumi laboratorijas, higiēnas vai farmācijas vajadzībām.","Laboratory, hygienic or pharmaceutical glassware","preces"
"33791000-1","Higiēnas stikla trauki.","Hygienic glassware","preces"
"33792000-8","Stikla izstrādājumi farmācijas vajadzībām.","Pharmaceutical glassware","preces"
"33793000-5","Stikla izstrādājumi laboratorijas vajadzībām.","Laboratory glassware","preces"
"33900000-9","Sekcijas un morga aprīkojums un piederumi.","Post-mortem and mortuary equipment and supplies","preces"
"33910000-2","Patanatomiskās autopsijas instrumenti un piederumi.","Pathology dissection instruments and supplies","preces"
"33911000-9","Anatomiskās šķēres.","Autopsy scissors","preces"
"33912000-6","Sekcijas komplekti.","Autopsy dissection kits","preces"
"33912100-7","Anatomiskās knaibles.","Autopsy dissection forceps","preces"
"33913000-3","Sekcijas zonde ložu zondēšanai.","Autopsy bullet probes","preces"
"33914000-0","Anatomiskie diegi, adatas vai incīzijas spailes","Post-mortem thread, needles or incision clips","preces"
"33914100-1","Anatomiskie diegi.","Post-mortem thread","preces"
"33914200-2","Anatomiskās adatas.","Post-mortem needles","preces"
"33914300-3","Anatomiskās incīzijas spailes.","Post-mortem incision clips","preces"
"33915000-7","Sekcijas vēnu zonde.","Autopsy vein directors","preces"
"33916000-4","Sekcijas zāģu asmeņi vai piederumi.","Autopsy saw blades or accessories","preces"
"33916100-5","Sekcijas zāģi.","Autopsy saws","preces"
"33917000-1","Sekcijas pamatnes vai paliktņi.","Dissection boards or pads","preces"
"33918000-8","Sekcijas ķirurģisko instrumentu vai piederumu soma.","Cases for post-mortem surgical instruments or accessories","preces"
"33919000-5","Satinama soma sekcijas ķirurģiskajiem instrumentiem vai piederumiem.","Instrument rolls for post-mortem surgical instruments or accessories","preces"
"33920000-5","Sekcijas aprīkojums un piederumi.","Autopsy equipment and supplies","preces"
"33921000-2","Kaulu putekļu savācējs.","Bone dust collectors","preces"
"33922000-9","Maisi līķu transportēšanai.","Cadaver transport bags","preces"
"33923000-6","Galvas balsti, ķermeņa paliktņi vai iekarami svari.","Autopsy head rests, body boards or hanging scales","preces"
"33923100-7","Sekcijas galvas balsti.","Autopsy head rests","preces"
"33923200-8","Sekcijas ķermeņa paliktņi.","Autopsy body boards","preces"
"33923300-9","Sekcijas iekaramie svari.","Autopsy hanging scales","preces"
"33924000-3","Sekcijas infekcijas slimību instrumentu komplekti.","Autopsy infectious disease kits","preces"
"33925000-0","Sekcijas identifikācijas plāksnītes vai aproces.","Post-mortem identification tags or bracelets","preces"
"33926000-7","Sekcijas vakuuma aspirators vai caurules šķidruma savākšanai.","Autopsy fluid collection vacuum aspirators or tubing","preces"
"33927000-4","Sekcijas rektālie termometri.","Post-mortem rectal thermometers","preces"
"33928000-1","Sekcijas pirkstu iztaisnošanas instrumenti.","Post-mortem finger straighteners","preces"
"33929000-8","Sekcijas ķermeņa rekonstrukcijas piederumu komplekts.","Cadaver tissue builder kits","preces"
"33930000-8","Sekcijas telpu mēbeles.","Autopsy furniture","preces"
"33931000-5","Sekcijas makroskopiskās izmeklēšanas galdi vai piederumi.","Autopsy grossing workstations or accessories","preces"
"33932000-2","Sekcijas izlietnes vai piederumi.","Autopsy sinks or accessories","preces"
"33933000-9","Sekcijas galdi vai piederumi.","Autopsy tables or accessories","preces"
"33933100-0","Sekcijas galdi.","Autopsy tables","preces"
"33934000-6","Nekropsijas galdi vai piederumi.","Necropsy tables or accessories","preces"
"33935000-3","Dzīvnieku sekcijas galdi vai piederumi.","Post-mortem animal dissection tables or accessories","preces"
"33936000-0","Iebalzamēšanas galdi vai piederumi","Embalming workstations or accessories","preces"
"33937000-7","Sekcijas galdi ar šķidrumu novadīšanas sistēmu vai piederumi.","Autopsy downdraft workstations or accessories","preces"
"33940000-1","Līķu transportēšanas un uzglabāšanas aprīkojums un piederumi.","Cadaver transport and storage equipment and supplies","preces"
"33941000-8","Līķu uzglabāšanas plaukti.","Cadaver storage racks","preces"
"33942000-5","Līķu nestuves.","Cadaver carriers","preces"
"33943000-2","Automātiskie līķu pacelšanas ratiņi.","Cadaver scissor lift trolleys","preces"
"33944000-9","Morga dzesētājskapji vai saldētavas.","Morgue cabinet refrigerators or freezers","preces"
"33945000-6","Morga dzesēšanas kamera.","Morgue walk in refrigerators","preces"
